timestamp,tweet_text,username,all_hashtags,followers_count
2020-04-26 07:50:09,"b""@Cont666 @NeilGroom1 @AndrewLoeschner @cdelvallejr Just as I've stated ..there are factors which made mental illness a problem in this generation....people in the 19 century didn't have so much drug problem or instagram to reduce ones self esteem and others ..""",b'33_Bandit',[],131
2020-04-26 06:44:36,"b'My fyp be mental illness, gay, witch, drug, and occasionally funny... what\xe2\x80\x99s yours?'",b'ratchetxrain',[],27
2020-04-26 05:21:30,"b'@hafataloguam56 @MSNBC Exactly help ourselves, the issue is the government has trampled civil rights and will not allow people to provide for their family through work.  Which will lead to suicide, domestic abuse, drug addiction, mental illness and crime.'",b'TalonJMurray',[],12
2020-04-26 04:14:57,"b'Rappers always get trashed because of their drug use, but mental illness is so taboo in communities of color. I just keep hearing more and more songs with PTSD themes and idk. Maybe it\xe2\x80\x99s time to recognize that these men are a result of the abuse and trauma they endured.'",b'sashaheaux',[],20
2020-04-26 04:11:54,"b'""Prisons do not disappear social problems, they disappear human beings. Homelessness, unemployment, drug addiction, mental illness and illiteracy are only a few of the problems that disappear from public view when the human beings contending with them are relegated to cages"" - AD'",b'delasoul313',[],106
2020-04-26 03:44:51,b'@MacroFour My bias towards facts?  Chloroquine is a safe drug that has been around for decades and has been proven effective against the Wuhan virus. Fish tank cleaner is poison. Mental illness exists. You didn\xe2\x80\x99t lie. You lack candor.',b'Sweet_Tea71',[],85
2020-04-26 02:17:07,"b'@GlobalBC @jarmstrongbc Shuffling people temporarily into hotel rooms solves nothing.  The root problems are drug addiction and mental illness.  What are we doing to resolve those issues?  We are reviving addicts with Naloxone and then giving them more opioids, without any kind of intervention.'",b'DarrenReiter',[],33
2020-04-26 02:11:03,"b'I\xe2\x80\x99ve met so many cool amazing people who are homeless on the street and a lot of their stories start from corrupt family, poverty, mental illness and drug addiction'",b'AYinDaCut',[],24
2020-04-26 01:03:29,"b'Weed is NOT a gateway drug. People drowning in trauma is the gateway. Due mental illness, pain, and not seeing the light at the end of the tunnel,many people chose to try drugs such as crack and heroine. Plain marijuana is not addicting,does not cause overdose or body break down. https://t.co/SNuzgKTXNF'",b'itgirl_karmella',[],80
2020-04-26 00:33:14,b'@jackTroy5 @mtlawmiami @yo_its_simba I agree.  It also prevents further harm to others as well.  The problem is because of mental illness and drug addiction they often refuse.  It is a multifaceted problem and requires a multifaceted response.',b'LizzieluGreen',[],521
2020-04-25 23:18:44,"b'@ShaneLSimpson They will destroy hotels, get evicted, become homeless, and return to the same parks.   Housing is not a medicine for mental illness and drug addiction.'",b'vancadian',[],56
2020-04-25 21:21:41,"b'@realDonaldTrump I saw him look right at her and there was no one else there. So, can we talk about hallucinations as a symptom of his drug use or mental illness now?'",b'chelleyluna',[],93
