,Target tweets
0,"find remain joint from last night Score 
"
1,"mean same like bong amp bowl over blunt 
"
2,"Dab 
"
3,"Applied for card days ago impatient 
"
4,"have smoke much tonight amp do first dab while Dabs new equipment be great 
"
5,"take edible over hour ago amp only slightly buzz be small gummy 
"
6,"smoke loooooot heh 
"
7,"Anyone ever just spill their weed lot Because have do three time already 
"
8,"water tell dab Dont mind 
"
9,"bong water smell like raw potatoes 
"
10,"Who take hit for for 420 
"
11,"just burp mid hit Wtf 
"
12,"still baby This first 4/20 stoner amp glad first 4/20/20 
"
13,"mom amp stepdads reply tell them smoke lol 
"
14,"OkayAm too high do this not make sense 
"
15,"*whispering mom while shes the phone* Can cat eat bread 
"
16,"sleepy 
"
17,"back need crack like glow stick 
"
18,"high just listen Pink Floyd songs amp think just listen one song lol 
"
19,"4/20/20 soon.. What be your original plan for that day other than be high want the beach but that wont happen 
"
20,"Thats how be would only really pay attention when they would show them especially the baby 
"
21,"dont know what side the spectrum fall under See watch the show but then forget the whole episode bec 
"
22,"too its okay 
"
23,"Tell bad habit you while smoking/high One mine brush the ash off bed onto the floor 
"
24,"Bless Lucky you lol 
"
25,"Got high last night be convince Jay amp Silent Bob be friends 
"
26,"Does smoke make anyone super horny like every time just 
"
27,"Bed warmBed comfy 
"
28,"Also have anyone else be eat too much food since this virus start 
"
29,"Cotton mouth just eat peanut butter cant find water internal scream 
"
30,"*really high*Mom Come over here amp facetime with your grandparents 
"
31,"eat way too much food last night 
"
32,"have not be this high forever 
"
33,"feel like get cob web throat 
"
34,"sleep arm wrong last night mad 
"
35,"Tonight be weird man 
"
36,"phone like really big guy Its legit tablet Jesus 
"
37,"one Absolutely one knee LETS BOUNCE 
"
38,"stepdad say room smell like Willie Nelsons tour bus 
"
39,"didnt smoke weed last night amp take until probably fall asleep..I be lay there for hours amp 
"
40,"*super zone out*Me *coming to* Wow Chipotle sound really good right now 
"
41,"think cat get second hand high even though she live another floor than But anyways just catch her lick wall 
"
42,"literally do wake bake today 
"
43,"tell boyfriend good morning ... ... ... .its 
"
44,"Wowza.My brain doesnt want function properly 
"
45,"*thinking come down high*Me *catching myself do something weird* 
"
46,"get really bad cramp butt cheek when stand eyesight start go black 
"
47,"leave window open air out the weed amp not room freeze Work little space heater work 
"
48,"mom have become more accept smoke Which really great 
"
49,"Kid swing higher than you seriously fuck doubt that 
"
50,"Oaky that the last time make tea feel like its wasteful because have idea what do amp all 
"
51,"make more tea Wish luck 
"
52,"Sucks not be able smoke because sick 
"
53,"really want camp 
"
54,"wish someone would hand backpack full weed 
"
55,"watch 4/20 Massacre Hulu 
"
56,"wait take that back make tea last night just get extremely buzz 
"
57,"Two days ago.Im sick 
"
58,"make second cup 
"
59,"Okay not just buzz anymore loll 
"
60,"just buzz but its good thing that work probably couldve make better but practice make perfect 
"
61,"Okay feel 
"
62,"wonder how long will this take hit already drink half lol 
"
63,"Very inexperienced with use weed food/drinks just make myself weed tea still let seep Will post update this go 
"
64,"be die from bong hit amp friend come over and sprinkle pot leave amp tell bless 
"
65,"work 
"
66,"want out freeze 
"
67,"Totally be high since last night know its normal for some people but baby when ive be smoke 
"
68,"feel like just eat much 
"
69,"Went the kitchen for sammich Returned with cookieIdk what happen but think black out lol 
"
70,"keep zone out then when come back super alert 
"
71,"The wind just make hair smack the face 
"
72,"Sitting outside shoe smoke bong listen Led Zeppelin..Life good 
"
73,"Depression amp anxiety be act work could use blunt right about now 
"
74,"high again 
"
75,"Friends amp get hungry 
"
76,"totally forget reply 
"
77,"This better 
"
78,"want corndogs 
"
79,"People run its rain 
"
80,"Idk how act normal public 
"
81,"guy friend give whole bong hit 
"
82,"wish be high right now 
"
83,"High again How be you Stoner 
"
84,"eat lot fry now eat cookies 
"
85,"Gon eat Five Guys 
"
